0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:02 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:02 -0300] "GET /ong-cepe/privado/header.html HTTP/1.1" 200 3886
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:02 -0300] "GET /ong-cepe/privado/footer.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:02 -0300] "GET /ong-cepe/style.css.map HTTP/1.1" 200 79595
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:26 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:26 -0300] "GET /ong-cepe/style.css HTTP/1.1" 200 154462
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:26 -0300] "GET /ong-cepe/privado/js/itens.js HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:26 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:26 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:26 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:26 -0300] "GET /ong-cepe/privado/js/chamadas.js HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:32 -0300] "GET /ong-cepe/privado/header.html HTTP/1.1" 200 3886
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:32 -0300] "GET /ong-cepe/privado/footer.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:32 -0300] "GET /ong-cepe/style.css.map HTTP/1.1" 200 79595
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:51 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:51 -0300] "GET /ong-cepe/style.css HTTP/1.1" 200 154462
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:51 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:51 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:51 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:51 -0300] "GET /ong-cepe/privado/js/itens.js HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:51 -0300] "GET /ong-cepe/privado/js/chamadas.js HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:18:01 -0300] "GET /ong-cepe/style.css.map HTTP/1.1" 200 79595
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:18:03 -0300] "GET /ong-cepe/privado/header.html HTTP/1.1" 200 3886
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:18:03 -0300] "GET /ong-cepe/privado/footer.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:19:50 -0300] "GET /ong-cepe/privado/formulario/pesfisica.html HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:22:51 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:22:51 -0300] "GET /ong-cepe/style.css HTTP/1.1" 200 154462
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:22:51 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:22:51 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:22:51 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:22:51 -0300] "GET /ong-cepe/privado/js/itens.js HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:22:51 -0300] "GET /ong-cepe/privado/js/chamadas.js HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:22:51 -0300] "GET /ong-cepe/style.css.map HTTP/1.1" 200 79595
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:22:51 -0300] "GET /ong-cepe/privado/header.html HTTP/1.1" 200 3886
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:22:51 -0300] "GET /ong-cepe/privado/footer.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:24:00 -0300] "GET /ong-cepe/privado/formulario/pesfisica.html HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:35:14 -0300] "GET /ong-cepe/privado/formulario/pesjuridica.html HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:35:34 -0300] "GET /ong-cepe/privado/formulario/pesfisica.html HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:35:35 -0300] "GET /ong-cepe/privado/formulario/pesjuridica.html HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:35:36 -0300] "GET /ong-cepe/privado/formulario/pesfisica.html HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:35:38 -0300] "GET /ong-cepe/privado/formulario/pesjuridica.html HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:35:39 -0300] "GET /ong-cepe/privado/formulario/pesfisica.html HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:35:39 -0300] "GET /ong-cepe/privado/formulario/pesjuridica.html HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:35:40 -0300] "GET /ong-cepe/privado/formulario/pesfisica.html HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:35:41 -0300] "GET /ong-cepe/privado/formulario/pesjuridica.html HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:35:43 -0300] "GET /ong-cepe/privado/formulario/pesfisica.html HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:35:44 -0300] "GET /ong-cepe/privado/formulario/pesjuridica.html HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:47:01 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:47:01 -0300] "GET /ong-cepe/style.css HTTP/1.1" 200 154462
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:47:01 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:47:01 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:47:01 -0300] "GET /ong-cepe/privado/js/chamadas.js HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:47:01 -0300] "GET /ong-cepe/privado/js/itens.js HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:47:01 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:47:02 -0300] "GET /ong-cepe/style.css.map HTTP/1.1" 200 79595
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:47:13 -0300] "GET /ong-cepe/privado/header.html HTTP/1.1" 200 3886
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:47:13 -0300] "GET /ong-cepe/privado/footer.html HTTP/1.1" 200 976
