127.0.0.1 - - [11/Aug/2017:18:52:00 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Aug/2017:18:52:01 -0300] "GET /ong-cepe/ HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [11/Aug/2017:18:52:01 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [11/Aug/2017:18:52:01 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [11/Aug/2017:18:52:01 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:01 -0300] "GET /ong-cepe/ HTTP/1.1" 200 2688
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:01 -0300] "GET /ong-cepe/style.css HTTP/1.1" 200 154462
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:01 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:01 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:01 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:01 -0300] "GET /fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:01 -0300] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:01 -0300] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:05 -0300] "GET /ong-cepe/ HTTP/1.1" 200 2688
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:05 -0300] "GET /ong-cepe/style.css HTTP/1.1" 200 154462
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:05 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:05 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:05 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:05 -0300] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:05 -0300] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:05 -0300] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:06 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:14 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:14 -0300] "GET /ong-cepe/style.css.map HTTP/1.1" 200 79595
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:29 -0300] "GET /ong-cepe/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:29 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:29 -0300] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:29 -0300] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:29 -0300] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:31 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:31 -0300] "GET /ong-cepe/style.css.map HTTP/1.1" 200 79595
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:32 -0300] "GET /ong-cepe/ HTTP/1.1" 200 2688
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:32 -0300] "GET /ong-cepe/style.css HTTP/1.1" 200 154462
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:32 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:32 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:32 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:33 -0300] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:33 -0300] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:33 -0300] "GET /ong-cepe/style.css.map HTTP/1.1" 200 79595
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:33 -0300] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:44 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:44 -0300] "GET /fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:44 -0300] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:44 -0300] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:48 -0300] "GET /ong-cepe/ HTTP/1.1" 200 2688
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:48 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:48 -0300] "GET /ong-cepe/style.css HTTP/1.1" 200 154462
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:48 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:48 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:48 -0300] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:48 -0300] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:48 -0300] "GET /ong-cepe/style.css.map HTTP/1.1" 200 79595
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:20:48 -0300] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:21:00 -0300] "GET /ong-cepe/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:21:00 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:21:00 -0300] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:21:00 -0300] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:21:00 -0300] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [11/Aug/2017:19:22:19 -0300] "GET /ong-cepe/ HTTP/1.1" 200 2724
