127.0.0.1 - - [15/Aug/2017:19:00:52 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:00:53 -0300] "GET /ong-cepe/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:01 -0300] "GET /ong-cepe/ HTTP/1.1" 200 2731
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:01 -0300] "GET /ong-cepe/style.css HTTP/1.1" 200 154462
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:01 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:01 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:01 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:02 -0300] "GET /fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:02 -0300] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:02 -0300] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:10 -0300] "GET /ong-cepe/ HTTP/1.1" 200 2731
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:10 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:10 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:10 -0300] "GET /ong-cepe/style.css HTTP/1.1" 200 154462
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:10 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:11 -0300] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:11 -0300] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:11 -0300] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:12 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:26 -0300] "GET /ong-cepe/privado/paginaInicial.html HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:26 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:26 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:26 -0300] "GET /ong-cepe/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:26 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:26 -0300] "GET /ong-cepe/privado/js/itens.js HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:26 -0300] "GET /ong-cepe/privado/header.html HTTP/1.1" 200 4084
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:26 -0300] "GET /ong-cepe/privado/footer.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:28 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:28 -0300] "GET /ong-cepe/privado/js/chamadas.js HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:09:31 -0300] "GET /ong-cepe/privado/formulario/pesfisica.html HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:13:06 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:13:06 -0300] "GET /ong-cepe/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:13:06 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:13:06 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:13:06 -0300] "GET /ong-cepe/privado/js/itens.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:13:06 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:13:06 -0300] "GET /ong-cepe/privado/js/chamadas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:13:06 -0300] "GET /ong-cepe/privado/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:13:06 -0300] "GET /ong-cepe/privado/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:13:07 -0300] "GET /ong-cepe/privado/formulario/pesjuridica.html HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:17:09 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:17:09 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:17:09 -0300] "GET /ong-cepe/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:17:09 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:17:09 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:17:09 -0300] "GET /ong-cepe/privado/js/itens.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:17:09 -0300] "GET /ong-cepe/privado/js/chamadas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:17:09 -0300] "GET /ong-cepe/privado/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:17:09 -0300] "GET /ong-cepe/privado/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:17:11 -0300] "GET /ong-cepe/privado/formulario/pesfisica.html HTTP/1.1" 200 3899
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:17:13 -0300] "GET /ong-cepe/privado/formulario/pesjuridica.html HTTP/1.1" 200 3629
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:17:38 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:17:40 -0300] "GET /ong-cepe/privado/formulario/pesfisica.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:18:09 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:18:09 -0300] "GET /ong-cepe/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:18:09 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:18:09 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:18:09 -0300] "GET /ong-cepe/privado/js/itens.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:18:09 -0300] "GET /ong-cepe/privado/js/chamadas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:18:09 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:18:09 -0300] "GET /ong-cepe/privado/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:18:09 -0300] "GET /ong-cepe/privado/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:18:10 -0300] "GET /ong-cepe/privado/formulario/pesjuridica.html HTTP/1.1" 200 3629
0:0:0:0:0:0:0:1 - - [15/Aug/2017:19:18:37 -0300] "GET /ong-cepe/privado/formulario/pesfisica.html HTTP/1.1" 200 3899
